"u_tarefa","u_matricula","u_nome","u_grupo_acionado","u_acao","u_status","u_data_e_hora_inicio","u_data_e_hora_fim","sys_created_on","sys_created_by","u_em_analise_por_historico","sys_tags","sys_updated_on","sys_updated_by","sys_mod_count"
"TSK240800125120","","","CAMPO FMO TRIAGEM TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 00:00:31","26/08/2024 00:00:31","26/08/2024 00:00:31","system","","","26/08/2024 00:00:31","system","0"
"TSK240800125120","","","CAMPO FMO TRIAGEM TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 00:00:31","26/08/2024 00:00:31","26/08/2024 00:00:31","system","","","26/08/2024 00:00:31","system","0"
"TSK240800125120","System","wfm_agent","CAMPO FMO TRIAGEM TRJ 1","Anotações de Trabalho","Não Iniciado","26/08/2024 00:00:48","26/08/2024 00:00:48","26/08/2024 00:00:48","wfm_agent","","","26/08/2024 00:00:48","wfm_agent","0"
"TSK240800120798","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Não Concluído","26/08/2024 00:00:48","26/08/2024 00:00:48","26/08/2024 00:00:48","wfm_agent","","","26/08/2024 00:00:48","wfm_agent","0"
"TSK240800118904","System","wfm_agent","CAMPO FMMT TNE 2","Anotações de Trabalho","Iniciado","26/08/2024 00:01:25","26/08/2024 00:01:25","26/08/2024 00:01:25","wfm_agent","","","26/08/2024 00:01:25","wfm_agent","0"
"TSK240800044505","isoc_acesso","isoc_acesso","CAMPO FMMT TCO","Anotações de Trabalho","Concluido","26/08/2024 00:01:37","26/08/2024 00:01:37","26/08/2024 00:01:37","isoc_acesso","","","26/08/2024 00:01:37","isoc_acesso","0"
"TSK240800118825","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:01:37","","26/08/2024 00:01:37","system","","","26/08/2024 00:01:37","system","0"
"TSK240800044419","isoc_acesso","isoc_acesso","CAMPO FMO TRIAGEM TSP 1","Anotações de Trabalho","Concluido","26/08/2024 00:01:41","26/08/2024 00:01:41","26/08/2024 00:01:41","isoc_acesso","","","26/08/2024 00:01:41","isoc_acesso","0"
"TSK240800123197","","","CAMPO FMMT TMG","Alteração de Status","Concluido","26/08/2024 00:01:44","","26/08/2024 00:01:44","system","","","26/08/2024 00:01:44","system","0"
"TSK240800044495","isoc_acesso","isoc_acesso","CAMPO FMO TRJ 1","Anotações de Trabalho","Concluido","26/08/2024 00:01:46","26/08/2024 00:01:46","26/08/2024 00:01:46","isoc_acesso","","","26/08/2024 00:01:46","isoc_acesso","0"
"TSK240800125127","","","CAMPO FMMT TNO","Alteração de Status","Não Iniciado","26/08/2024 00:01:48","","26/08/2024 00:01:48","system","","","26/08/2024 00:01:48","system","0"
"TSK240800118904","System","wfm_agent","CAMPO FMMT TNE 2","Anotações de Trabalho","Iniciado","26/08/2024 00:01:54","26/08/2024 00:01:54","26/08/2024 00:01:54","wfm_agent","","","26/08/2024 00:01:54","wfm_agent","0"
"TSK240800123659","","","CAMPO FMMT TMG","Alteração de Status","Concluido","26/08/2024 00:01:59","","26/08/2024 00:01:59","system","","","26/08/2024 00:01:59","system","0"
"TSK240800125029","8058997","F8058997","CAMPO FMO TRIAGEM TSP 1","Alteração de Status","Concluido","26/08/2024 00:02:43","","26/08/2024 00:02:43","F8058997","","","26/08/2024 00:02:43","F8058997","0"
"TSK240800123820","","","CAMPO FMMT TNE","Alteração de Status","Concluido","26/08/2024 00:02:46","","26/08/2024 00:02:46","system","","","26/08/2024 00:02:46","system","0"
"TSK240800122514","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:02:49","","26/08/2024 00:02:49","system","","","26/08/2024 00:02:49","system","0"
"TSK240800121643","","","CAMPO FMMT TRJ","Alteração de Status","Concluido","26/08/2024 00:02:52","","26/08/2024 00:02:52","system","","","26/08/2024 00:02:52","system","0"
"TSK240800125131","","","CAMPO FMMT TMG","Alteração de Status","Não Iniciado","26/08/2024 00:02:55","","26/08/2024 00:02:55","system","","","26/08/2024 00:02:55","system","0"
"TSK240800121784","","","CAMPO FMMT TMG","Alteração de Status","Concluido","26/08/2024 00:03:24","","26/08/2024 00:03:24","system","","","26/08/2024 00:03:24","system","0"
"TSK240800121784","","","CAMPO FMMT TMG","Anotações de Trabalho","Concluido","26/08/2024 00:03:25","26/08/2024 00:03:25","26/08/2024 00:03:25","system","","","26/08/2024 00:03:25","system","0"
"TSK240800121784","","","CAMPO FMMT TMG","Anotações de Trabalho","Concluido","26/08/2024 00:03:25","26/08/2024 00:03:25","26/08/2024 00:03:25","system","","","26/08/2024 00:03:25","system","0"
"TSK240800125106","System","wfm_agent","CAMPO FMO TCO","Anotações de Trabalho","Iniciado","26/08/2024 00:03:27","26/08/2024 00:03:27","26/08/2024 00:03:27","wfm_agent","","","26/08/2024 00:03:27","wfm_agent","0"
"TSK240800125106","System","wfm_agent","CAMPO FMO TCO","Alteração de Status","Iniciado","26/08/2024 00:00:56","26/08/2024 00:03:33","26/08/2024 00:00:56","wfm_agent","","","26/08/2024 00:03:33","system","1"
"TSK240800121669","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:03:35","","26/08/2024 00:03:35","system","","","26/08/2024 00:03:35","system","0"
"TSK240800120176","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:03:41","","26/08/2024 00:03:41","system","","","26/08/2024 00:03:41","system","0"
"TSK240800125128","8045032","F8045032","CAMPO FMO TRIAGEM TSP 1","Anotações de Trabalho","Não Iniciado","26/08/2024 00:03:48","26/08/2024 00:03:48","26/08/2024 00:03:48","F8045032","","","26/08/2024 00:03:48","F8045032","0"
"TSK240800125161","","","CAMPO FMMT TNO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:03:57","26/08/2024 00:03:57","26/08/2024 00:03:57","system","","","26/08/2024 00:03:57","system","0"
"TSK240800125161","","","CAMPO FMMT TNO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:03:57","26/08/2024 00:03:57","26/08/2024 00:03:57","system","","","26/08/2024 00:03:57","system","0"
"TSK240800125042","System","wfm_agent","CAMPO FMO TCO","Alteração de Status","Iniciado","26/08/2024 00:03:03","26/08/2024 00:03:59","26/08/2024 00:03:03","wfm_agent","","","26/08/2024 00:03:59","system","1"
"TSK240800122917","","","CAMPO FMMT TNE","Alteração de Status","Concluido","26/08/2024 00:04:11","","26/08/2024 00:04:11","system","","","26/08/2024 00:04:11","system","0"
"TSK240800125042","System","wfm_agent","CAMPO FMO TCO","Anotações de Trabalho","Não Concluído","26/08/2024 00:04:12","26/08/2024 00:04:12","26/08/2024 00:04:12","wfm_agent","","","26/08/2024 00:04:12","wfm_agent","0"
"TSK240800125161","System","wfm_agent","CAMPO FMMT TNO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:04:12","26/08/2024 00:04:12","26/08/2024 00:04:12","wfm_agent","","","26/08/2024 00:04:12","wfm_agent","0"
"TSK240800114178","","","CAMPO FMMT TNE","Alteração de Status","Concluido","26/08/2024 00:04:17","","26/08/2024 00:04:17","system","","","26/08/2024 00:04:17","system","0"
"TSK240800121293","","","CAMPO FMMT TMG","Alteração de Status","Validar","26/08/2024 00:04:27","","26/08/2024 00:04:27","system","","","26/08/2024 00:04:27","system","0"
"TSK240800124471","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:04:54","26/08/2024 00:04:54","26/08/2024 00:04:54","wfm_agent","","","26/08/2024 00:04:54","wfm_agent","0"
"TSK240800103451","","","CAMPO FMMT TCO","Alteração de Status","Concluido","26/08/2024 00:05:29","","26/08/2024 00:05:29","system","","","26/08/2024 00:05:29","system","0"
"TSK240800122928","","","CAMPO FMMT TRJ","Alteração de Status","Concluido","26/08/2024 00:05:38","","26/08/2024 00:05:38","system","","","26/08/2024 00:05:38","system","0"
"TSK240800123478","","","CAMPO FMMT TMG","Alteração de Status","Concluido","26/08/2024 00:05:56","","26/08/2024 00:05:56","system","","","26/08/2024 00:05:56","system","0"
"TSK240800097499","","","CAMPO FMMT TNO","Alteração de Status","Concluido","26/08/2024 00:05:59","","26/08/2024 00:05:59","system","","","26/08/2024 00:05:59","system","0"
"TSK240800123501","","","CAMPO FMMT TNE","Alteração de Status","Concluido","26/08/2024 00:06:10","","26/08/2024 00:06:10","system","","","26/08/2024 00:06:10","system","0"
"TSK240800044505","isoc_acesso","isoc_acesso","CAMPO FMMT TCO","Anotações de Trabalho","Concluido","26/08/2024 00:06:16","26/08/2024 00:06:16","26/08/2024 00:06:16","isoc_acesso","","","26/08/2024 00:06:16","isoc_acesso","0"
"TSK240800122118","","","CAMPO FMMT TNO","Alteração de Status","Concluido","26/08/2024 00:06:17","","26/08/2024 00:06:17","system","","","26/08/2024 00:06:17","system","0"
"TSK240800044419","isoc_acesso","isoc_acesso","CAMPO FMO TRIAGEM TSP 1","Anotações de Trabalho","Concluido","26/08/2024 00:06:20","26/08/2024 00:06:20","26/08/2024 00:06:20","isoc_acesso","","","26/08/2024 00:06:20","isoc_acesso","0"
"TSK240800044495","isoc_acesso","isoc_acesso","CAMPO FMO TRJ 1","Anotações de Trabalho","Concluido","26/08/2024 00:06:24","26/08/2024 00:06:24","26/08/2024 00:06:24","isoc_acesso","","","26/08/2024 00:06:24","isoc_acesso","0"
"TSK240800125130","isoc_acesso","isoc_acesso","CAMPO FIBRA OPTICA TSP ALPITEL","Anotações de Trabalho","Não Iniciado","26/08/2024 00:06:28","26/08/2024 00:06:28","26/08/2024 00:06:28","isoc_acesso","","","26/08/2024 00:06:28","isoc_acesso","0"
"TSK240800117677","","","CAMPO FMMT TRJ","Alteração de Status","Concluido","26/08/2024 00:06:57","","26/08/2024 00:06:57","system","","","26/08/2024 00:06:57","system","0"
"TSK240800118657","","","CAMPO FMO TRJ 2","Alteração de Status","Concluido","26/08/2024 00:06:58","","26/08/2024 00:06:58","system","","","26/08/2024 00:06:58","system","0"
"TSK240800125167","8061990","F8061990","CAMPO FMMT TCO","Alteração de Status","Não Iniciado","26/08/2024 00:07:13","26/08/2024 00:07:14","26/08/2024 00:07:13","F8061990","","","26/08/2024 00:07:14","F8061990","1"
"TSK240800125167","8061990","F8061990","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:07:14","26/08/2024 00:07:14","26/08/2024 00:07:14","F8061990","","","26/08/2024 00:07:14","F8061990","0"
"TSK240800125167","8061990","F8061990","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:07:14","26/08/2024 00:07:14","26/08/2024 00:07:14","F8061990","","","26/08/2024 00:07:14","F8061990","0"
"TSK240800123720","","","CAMPO FMMT TNE 2","Alteração de Status","Concluido","26/08/2024 00:07:29","","26/08/2024 00:07:29","system","","","26/08/2024 00:07:29","system","0"
"TSK240800122004","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:07:31","","26/08/2024 00:07:31","system","","","26/08/2024 00:07:31","system","0"
"TSK240800119447","","","CAMPO FMMT TCO","Alteração de Status","Concluido","26/08/2024 00:07:44","","26/08/2024 00:07:44","system","","","26/08/2024 00:07:44","system","0"
"TSK240800125167","8061990","F8061990","CAMPO FMMT TCO","Alteração de Status","Pendente","26/08/2024 00:07:14","26/08/2024 00:07:47","26/08/2024 00:07:14","F8061990","","","26/08/2024 00:07:47","system","1"
"TSK240800124720","System","wfm_agent","CAMPO FMMT TRJ","Anotações de Trabalho","Não Iniciado","26/08/2024 00:07:54","26/08/2024 00:07:54","26/08/2024 00:07:54","wfm_agent","","","26/08/2024 00:07:54","wfm_agent","0"
"TSK240800122330","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:07:55","","26/08/2024 00:07:55","system","","","26/08/2024 00:07:55","system","0"
"TSK240800122168","","","CAMPO FMMT TMG","Alteração de Status","Concluido","26/08/2024 00:07:57","","26/08/2024 00:07:57","system","","","26/08/2024 00:07:57","system","0"
"TSK240800123895","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:08:00","","26/08/2024 00:08:00","system","","","26/08/2024 00:08:00","system","0"
"TSK240800123928","","","CAMPO FMMT TNO","Alteração de Status","Concluido","26/08/2024 00:08:10","","26/08/2024 00:08:10","system","","","26/08/2024 00:08:10","system","0"
"TSK240800121677","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:08:14","","26/08/2024 00:08:14","system","","","26/08/2024 00:08:14","system","0"
"TSK240800119432","","","CAMPO FMMT TSP","Alteração de Status","Concluido","26/08/2024 00:08:17","","26/08/2024 00:08:17","system","","","26/08/2024 00:08:17","system","0"
"TSK240800124797","System","wfm_agent","CAMPO FMMT TCO","Anotações de Trabalho","Não Iniciado","26/08/2024 00:08:55","26/08/2024 00:08:55","26/08/2024 00:08:55","wfm_agent","","","26/08/2024 00:08:55","wfm_agent","0"
"TSK240800120459","","","CAMPO FMMT TRJ","Alteração de Status","Concluido","26/08/2024 00:09:01","","26/08/2024 00:09:01","system","","","26/08/2024 00:09:01","system","0"
"TSK240800121419","","","CAMPO FMMT TNO","Alteração de Status","Concluido","26/08/2024 00:09:47","","26/08/2024 00:09:47","system","","","26/08/2024 00:09:47","system","0"
"TSK240800122942","","","CAMPO FMMT TNE","Alteração de Status","Concluido","26/08/2024 00:10:14","","26/08/2024 00:10:14","system","","","26/08/2024 00:10:14","system","0"
"TSK240800122283","","","CAMPO FMMT TRJ","Alteração de Status","Concluido","26/08/2024 00:10:17","","26/08/2024 00:10:17","system","","","26/08/2024 00:10:17","system","0"
